Carcinoma,Neoplasms,squamous cell Neoplasm,Liver Cirrhosis Alcoholic,Autistic Disorder,Obesity,Peripheral Neuropathy,IGA Glomerulonephritis,Stomach Neoplasms,Prostatic Neoplasms,Lymphoma,Adenoid cystic,Diabates mellitue,Rheumatoid Arthritis,Ovarian Diseases,Schizophrenia,Heart valve disease,Salivary Gland neoplasam,Brain neoplasms,Kidney Failure,prognosis
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p1612
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p182
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p211
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p219
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p1191
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p233
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p116113
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p2175
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p3420
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p11200
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p3241
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p2195
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,p11009
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,p3458
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,p3122
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p22137
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p2264
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p239
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p23135
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p2329
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p2322
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p23269
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p23543
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p23619
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p23774
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p259266
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,p4846
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p262
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,p4842
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p2621
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,p4008
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p26292
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p27255
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p27344
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p28458
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p2972
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p29128
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p2982
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,p25976
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p38
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p3265
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,p29086
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p3485
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p358
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p3645
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p3691
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p3852
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p3866
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p482
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p462
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p463
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p4613
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,p472
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p4781
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,p4851
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p585
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p51477
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p51514
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p51659
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p5174
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p51742
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p5176
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,p529
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p53335
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p54441
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p54531
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p546
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p54756
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p5488
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p55294
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p55534
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p55783
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p5591
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p55914
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p565
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,p5728
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p57419
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p5834
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p595
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p6335
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p64324
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p6484
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p65322
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p6595
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p665
